1.0	Somali Ayr subclan	disclose	whereabouts	ORGANIZATION	0
1.0	Washington	have designate	somali islamist hardline leader Sheikh Hassan Dahir Aweys as terrorist	LOCATION	PERSON
1.0	their	have	defeat	O	O
1.0	troops	spark	intense exchange	0	0
1.0	US intervention	have	case	O	O
1.0	it	be second such attack in	three day	0	DURATION
0.7090106405496827	hand grenade	kill	himself	0	0
1.0	Washington	have also designate hardline leader sheikh hassan dahir aweys of	apart three	LOCATION	NUMBER
1.0	US air strike	cause	concern	LOCATION	0
1.0	it	be attack in	three day	0	DURATION
1.0	Washington	have designate	islamist hardline leader Sheikh Hassan Dahir Aweys	LOCATION	PERSON
1.0	attack	be in	2002	0	DATE
1.0	attack	also originate accord to	US official	0	LOCATION
1.0	first time	be in	20 year	ORDINAL	DURATION
0.6513104635579551	Qaeda	target in	Somalia	ORGANIZATION	LOCATION
1.0	USS Dwight D. Eisenhower	have	have deploy off coast of Somalia	ORGANIZATION	LOCATION
1.0	Mogadishu	be in	June	LOCATION	DATE
1.0	Somalia	have	slide	O	LOCATION
