1.0	all	prefer to	former England captain	0	LOCATION
1.0	the cold by the Real coach Fabio Capello	coach in	Real Madrid	0	LOCATION
1.0	Real	have	sport director	0	0
1.0	the cold by the Real coach Fabio Capello	be	believe	PERSON	0
1.0	Franck Ribery	be for	french	PERSON	0
1.0	David Beckham	be low down	pecking order on wing	PERSON	0
1.0	David Beckham	be use like	Wanderley Luxemburgo	PERSON	PERSON
0.8023078813648064	they	bid for	international Franck Ribery	0	PERSON
1.0	David Beckham	be low down	pecking order	PERSON	0
1.0	the cold by the Real coach Fabio Capello	have already bring in	playmaker Fernando Gago	PERSON	PERSON
1.0	the cold by the Real coach Fabio Capello	reach figure by	end	0	0
1.0	Beckham	at	departure	PERSON	0
