1.0	International Criminal Tribunal	be for	Yugoslavia	ORGANIZATION	LOCATION
1.0	39	be involve during	Bosnia 's brutal 1992-1995 war	NUMBER	DURATION
1.0	certain lower level case	have	because of strict deadline for its so-called exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	level case	have	because of deadline for its so-called exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of deadline have transfer to national court	0	0
1.0	level case	have	have transfer	0	0
1.0	40 inmate	be in	three bosnian prison	NUMBER	NUMBER
1.0	certain lower level case	have	because of strict deadline have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of strict deadline have transfer to national court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of deadline for its exit strategy have transfer to court	0	0
1.0	they	be seek	try under previous code	0	0
1.0	certain lower level case	have	because of deadline have transfer	0	0
1.0	they	be try under	previous criminal code	0	0
1.0	level case	have	because of deadline for its exit strategy have transfer to court	0	0
1.0	those	want	they sentence	0	0
1.0	national court	be in	Yugoslavia	0	LOCATION
1.0	strike	be originally start on	Sarajevo	0	LOCATION
1.0	twenty-two inmates at the Kula prison in the Bosnian capital	be	release	0	0
1.0	they	be seek	try under code claim	0	0
1.0	certain lower level case	have	because of deadline for its so-called exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	because of strict deadline for its exit strategy have transfer	0	0
1.0	they	be seek	try under criminal code claim	0	0
1.0	they	be seek	try under code	0	0
1.0	level case	have	because of deadline for its exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	level case	have	because of strict deadline have transfer to national court	0	0
1.0	they	be try under	criminal code claim	0	0
1.0	lower level case	have	have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of deadline for its so-called exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of strict deadline for its exit strategy have transfer to national court	0	0
1.0	certain level case	have	because of strict deadline for its exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	Court	implement	law	ORGANIZATION	0
1.0	level case	have	because of strict deadline for its so-called exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain level case	have	because of strict deadline for its so-called exit strategy have transfer	0	0
1.0	certain level case	have	because of strict deadline for its so-called exit strategy have transfer to court	0	0
1.0	lower level case	have	because of deadline for its exit strategy have transfer	0	0
1.0	39	be	involve in war crime during Bosnia 's war	NUMBER	LOCATION
1.0	level case	have	have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	have transfer to national court in former Yugoslavia	0	LOCATION
1.0	level case	have	because of deadline have transfer to national court	0	0
1.0	lower level case	have	because of deadline have transfer to national court in former Yugoslavia	0	LOCATION
1.0	certain level case	have	because of deadline for its so-called exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of strict deadline for its so-called exit strategy have transfer to court	0	0
1.0	lower level case	have	because of strict deadline have transfer to court	0	0
1.0	certain lower level case	have	because of strict deadline for its exit strategy have transfer to national court	0	0
1.0	groups	have	three	NUMBER	O
1.0	town	have	prison	O	O
1.0	level case	have	because of deadline have transfer to national court in former Yugoslavia	0	LOCATION
1.0	Bosnia	have	war crime court	LOCATION	0
1.0	certain level case	have	because of deadline for its exit strategy have transfer to national court	0	0
1.0	those convict	want	they sentence annul	0	0
1.0	Bosnia	of	state war crime court	LOCATION	0
1.0	level case	have	because of strict deadline for its exit strategy have transfer to national court	0	0
1.0	level case	have	because of deadline for its exit strategy have transfer to court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of strict deadline for its exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	level case	have	have transfer to national court in former Yugoslavia	0	LOCATION
1.0	39	be	involve in war crime during Bosnia 's brutal 1992-1995 war	NUMBER	DURATION
1.0	certain lower level case	have	because of deadline for its so-called exit strategy have transfer to court	0	0
1.0	certain level case	have	because of deadline for its exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of deadline have transfer	0	0
1.0	certain lower level case	have	because of strict deadline for its so-called exit strategy have transfer to national court	0	0
1.0	certain level case	have	have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	because of strict deadline for its so-called exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	have transfer to court	0	0
1.0	they	be seek	try under previous criminal code claim	0	0
1.0	lower level case	have	because of strict deadline for its so-called exit strategy have transfer	0	0
1.0	certain level case	have	because of strict deadline for its so-called exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	certain lower level case	have	because of deadline for its exit strategy have transfer to court	0	0
1.0	certain lower level case	have	because of strict deadline have transfer	0	0
1.0	level case	have	because of deadline for its exit strategy have transfer to national court	0	0
1.0	level case	have	because of strict deadline for its exit strategy have transfer to national court in former Yugoslavia	0	LOCATION
1.0	39	be involve during	Bosnia 's brutal war	NUMBER	LOCATION
1.0	level case	have	because of deadline have transfer to court in former Yugoslavia	0	LOCATION
1.0	certain level case	have	because of strict deadline have transfer	0	0
1.0	certain level case	have	because of strict deadline have transfer to national court in former Yugoslavia	0	LOCATION
1.0	lower level case	have	because of deadline have transfer to court in former Yugoslavia	0	LOCATION
1.0	39	be involve in	war crime	NUMBER	0
1.0	39	be	involve	NUMBER	0
1.0	they	be	try	0	0
1.0	Bosnia	have	war	O	LOCATION
1.0	they	be try under	previous code	0	0
1.0	level case	have	because of strict deadline for its so-called exit strategy have transfer to court	0	0
1.0	lower level case	have	have transfer to national court in former Yugoslavia	0	LOCATION
1.0	strike	be start on	Sarajevo	0	LOCATION
1.0	level case	have	because of strict deadline have transfer to court	0	0
1.0	certain level case	have	because of deadline have transfer to national court	0	0
1.0	certain lower level case	have	have transfer to court in former Yugoslavia	0	LOCATION
1.0	they	be try under	code claim	0	0
1.0	level case	have	because of deadline for its so-called exit strategy have transfer	0	0
1.0	certain lower level case	have	because of strict deadline have transfer to national court	0	0
1.0	lower level case	have	because of strict deadline for its exit strategy have transfer	0	0
1.0	level case	have	because of strict deadline for its exit strategy have transfer to court	0	0
1.0	certain level case	have	have transfer	0	0
1.0	39	be	suspect	NUMBER	0
1.0	certain lower level case	have	because of deadline have transfer to court in former Yugoslavia	0	LOCATION
1.0	Almost 40 inmates in three Bosnian prisons	have	warcrimes cases	O	O
