1.0	exchange	stabilize	Iraq	0	LOCATION
0.5522086273503901	strategy	release by	President George W. Bush this week mirrored many proposals from the heavyweight Iraq Study Group led by former secretary of state James Baker	0	PERSON
1.0	Prime Minister Nuri al-Maliki	have	government meeting	O	PERSON
1.0	state	have	secretary	O	O
1.0	new Iraq strategy	defy	expectation	ORGANIZATION	0
1.0	State Condoleezza Rice	oversee	new more decentralised push for economic reconstruction	0	0
1.0	State Condoleezza Rice	oversee	decentralised push for reconstruction	0	0
1.0	State Condoleezza Rice	oversee	new decentralised push for economic reconstruction in Iraq	0	LOCATION
1.0	mandate Iraq Study Group	win	wide praise	ORGANIZATION	0
1.0	Israeli and Palestinian leaders	have	peace process	O	O
0.682001578628607	strategy	include	need	0	0
1.0	President George W. Bush this week mirrored many proposals from the heavyweight Iraq Study Group led by former secretary of state James Baker	be cool from	beginning	PERSON	0
1.0	Bush	have	plan	O	PERSON
1.0	the congressionally mandated Iraq Study Group	submit in	early December	0	DATE
1.0	Bush	have	father	O	PERSON
1.0	Bush	plan	policy blunder since Vietnam	PERSON	LOCATION
1.0	State Condoleezza Rice	oversee	more decentralised push for reconstruction in Iraq	0	LOCATION
1.0	Bush	plan	dangerous foreign policy blunder since Vietnam	PERSON	LOCATION
1.0	Bush 's top diplomat	make	clear	PERSON	0
1.0	Bush	have	plan	PERSON	0
1.0	Condoleezza Rice	be of	State Department	PERSON	ORGANIZATION
1.0	Bush	plan	foreign policy blunder	PERSON	0
1.0	State Department	have	repudiation	O	O
1.0	strategy	reflect	element of Baker outline	0	0
1.0	she	be	due	0	0
1.0	Syria 's	would demand	free hand	LOCATION	0
0.7554550488284585	decision	deepen us involvement in	unpopular war foregoing diplomacy	0	0
1.0	State Condoleezza Rice	oversee	decentralised push for economic reconstruction	0	0
1.0	Iraq Study Group	have	work	O	ORGANIZATION
1.0	State Condoleezza Rice	have	Secretary	O	PERSON
1.0	Bush 's top diplomat	make at	time	PERSON	0
1.0	Washington	oppose	its nuclear program	LOCATION	0
1.0	Syria 's	reassert	its control	LOCATION	0
0.7554550488284585	decision	deepen us involvement in	unpopular war diplomacy	0	0
0.47128158721355906	need	boost	training	0	0
1.0	the congressionally mandated Iraq Study Group	win praise in	contrast	ORGANIZATION	0
1.0	decision	draw	criticism	0	0
0.7554550488284585	decision	deepen us involvement in	war	0	0
1.0	it	include	push	0	0
1.0	the former diplomat	speak publicly on behalf of	group	0	0
1.0	commentator	see	he plan	0	0
1.0	Bush	plan	most dangerous foreign policy blunder	PERSON	0
1.0	Bush	have	diplomat	O	PERSON
1.0	Bush	with	final plan	PERSON	0
1.0	president	have	hand	O	O
1.0	insurgents	have	backers	O	O
1.0	State Condoleezza Rice	oversee	push for economic reconstruction in Iraq	0	LOCATION
1.0	State Condoleezza Rice	oversee	new more decentralised push for reconstruction	0	0
1.0	State Condoleezza Rice	meet	another of group 's recommendation	PERSON	0
1.0	Iraq	have	aid	O	LOCATION
1.0	president	have	critics	O	O
1.0	things it has shown no willingness to do	have	lot	O	O
1.0	Baker report	have	repudiation	O	O
1.0	strategy	however reflect	key element of Baker outline	0	0
1.0	State Condoleezza Rice	oversee	new push for economic reconstruction in Iraq	0	LOCATION
1.0	Lee Hamilton	be	democratic	PERSON	0
1.0	Barbara Boxer	be	democratic	PERSON	0
1.0	Syria	have	help	O	LOCATION
1.0	such negotiation	be	unacceptable	0	0
1.0	Bush 's plan	isolate regime in	Tehran	PERSON	LOCATION
1.0	Bush	have	top diplomat	PERSON	0
0.7858202736729921	the congressionally mandated Iraq Study Group	co-chair by	former secretary of state James Baker	ORGANIZATION	PERSON
1.0	State Condoleezza Rice	meet	another	PERSON	0
1.0	Bush	plan	policy blunder	PERSON	0
1.0	strategy	reflect	key element of Baker outline	0	0
1.0	decision	draw	scathing criticism	0	0
1.0	it	include	major push	0	0
1.0	Washington	oppose	its illicit program	LOCATION	0
1.0	Baker outline	have	elements	O	O
1.0	the congressionally mandated Iraq Study Group	win praise in	stark contrast	ORGANIZATION	0
1.0	State Condoleezza Rice	oversee	more decentralised push for economic reconstruction	0	0
1.0	negotiation	be	unacceptable	0	0
1.0	Bush 's refusal	earn	plan	PERSON	0
1.0	group	have	recommendations	O	O
1.0	State Condoleezza Rice	oversee	new more decentralised push	0	0
1.0	Bush 's diplomat	make at	time	PERSON	0
1.0	Bush	have	party	O	PERSON
1.0	State Condoleezza Rice	oversee	decentralised push for reconstruction in Iraq	0	LOCATION
1.0	State Condoleezza Rice	oversee	push for economic reconstruction	0	0
1.0	strategy	however reflect	key element	0	0
1.0	Bush 's top diplomat	make at	same time	PERSON	0
1.0	some commentators	have	plan	O	O
1.0	Bush	plan	foreign policy blunder since Vietnam	PERSON	LOCATION
1.0	group	of	main recommendation	0	0
1.0	Bush	have	refusal incorporate	PERSON	0
1.0	President George W. Bush this week mirrored many proposals from the heavyweight Iraq Study Group led by former secretary of state James Baker	be	cool to recommendation from beginning	PERSON	0
1.0	Syria	have	help stabilize	LOCATION	0
1.0	Israeli and Palestinian leaders	have	help	O	O
1.0	Nuri al-Maliki	on	government meeting	PERSON	0
1.0	strategy	reflect	element	0	0
1.0	need	make	US support benchmark	0	LOCATION
0.9205481661557532	Iraq	exchange for	they help	LOCATION	0
1.0	Bush	plan	most dangerous policy blunder since Vietnam	PERSON	LOCATION
1.0	State Condoleezza Rice	oversee	new decentralised push for reconstruction	0	0
1.0	State Condoleezza Rice	oversee	push for reconstruction in Iraq	0	LOCATION
1.0	Washington	oppose	its program	LOCATION	0
1.0	he	colleague	Charles Hagel	0	PERSON
1.0	President George W. Bush this week mirrored many proposals from the heavyweight Iraq Study Group led by former secretary of state James Baker	be cool to	recommendation	PERSON	0
1.0	Foreign Relations Committee	have	chairman	O	ORGANIZATION
1.0	State Condoleezza Rice	oversee	new push for reconstruction	0	0
1.0	Congress	force	president 's hand	ORGANIZATION	0
1.0	Congress	still force	president 's hand	ORGANIZATION	0
1.0	recommendations	have	two	NUMBER	O
1.0	Bush	plan	most dangerous foreign policy blunder since Vietnam	PERSON	LOCATION
