1.0	australian ace	start	come	0	0
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar day at Adelaide International tennis tournament	PERSON	ORGANIZATION
1.0	place	should put guccione in	world	0	0
1.0	second seed Richard Gasquet of France	storm	go in 12 minute	PERSON	DURATION
1.0	Vince Spadea	be of	US	PERSON	LOCATION
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar quarter-final day at Adelaide International tennis tournament Friday	PERSON	ORGANIZATION
1.0	quarter-final	will	will play Saturday with winner	0	DATE
1.0	Australian left-hander Chris Guccione	have	most	0	0
1.0	Australian left-hander Chris Guccione	have	ability	O	O
1.0	Argentina	have	Juan Martin del Potro	PERSON	LOCATION
1.0	US	have	Paul Goldstein	PERSON	LOCATION
1.0	second seed Richard Gasquet of France	be hit	winner	0	0
1.0	second seed Richard Gasquet of France	storm	go to 5-0 lead in 12 minute	PERSON	NUMBER
1.0	he	ability	matter	0	0
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar quarter-final day at Adelaide International tennis tournament here Friday	PERSON	ORGANIZATION
1.0	second seed Richard Gasquet of France	be hit winner from	everywhere	0	0
1.0	top-seeded Serbian Novak Djokovic	move into	semi-final	MISC	0
1.0	second seed Richard Gasquet of France	storm	go in just 12 minute	PERSON	DURATION
1.0	place	be in	semi-final	0	0
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar day	PERSON	DURATION
1.0	Joachim Johansson	face	Igor Kunitsyn	PERSON	PERSON
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar quarter-final day	PERSON	DURATION
1.0	career	have	win	O	O
1.0	second seed Richard Gasquet of France	storm	go	PERSON	0
1.0	place	should put guccione into	top 120	0	NUMBER
1.0	second seed Richard Gasquet of France	be just hit winner from	everywhere	0	0
1.0	winners	have	semi-finals	O	O
1.0	day 's play	be in	evening	DATE	TIME
0.7840132646628599	7-5	win over	Paul Goldstein of US	NUMBER	LOCATION
1.0	second seed Richard Gasquet of France	go in	12 minute	PERSON	DURATION
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar quarter-final day	PERSON	DURATION
1.0	second seed Richard Gasquet of France	go to	5-0 lead	PERSON	NUMBER
1.0	quarter-final	will	will play with winner	0	0
1.0	left-hander Chris Guccione	oust	second seed Richard Gasquet of France	PERSON	ORDINAL
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar	PERSON	0
1.0	second seed Richard Gasquet of France	be	overwhelm	PERSON	0
1.0	break points	have	most	O	O
1.0	second seed Richard Gasquet of France	be overwhelm by	barrage of world number	PERSON	0
0.44279953321991133	verge	break for	time	0	0
1.0	Argentina	have	Juan Martin del Potro	LOCATION	PERSON
1.0	the Australian settled down the	have	career	O	O
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar day	PERSON	DURATION
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar quarter-final day at Adelaide International tennis tournament	PERSON	ORGANIZATION
0.7840132646628599	7-5	win over	Paul Goldstein	NUMBER	PERSON
1.0	day	have	play	O	DATE
1.0	tournament victory	would have	he	0	0
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar day at Adelaide International tennis tournament Friday	PERSON	ORGANIZATION
1.0	left-hander Chris Guccione	oust	second seed Richard Gasquet	PERSON	ORDINAL
1.0	the day	have	play late in evening	DATE	TIME
1.0	Joachim Johansson	face	Igor Kunitsyn of Russia	PERSON	PERSON
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar at Adelaide International tennis tournament here Friday	PERSON	ORGANIZATION
1.0	it	be	good sign	0	0
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar quarter-final day at Adelaide International tennis tournament	PERSON	ORGANIZATION
1.0	sign	serve	his ability to stay calm	0	0
1.0	australian left-hander Chris Guccione	oust seed richard gasquet as	rain mar day at Adelaide International tennis tournament here Friday	PERSON	ORGANIZATION
1.0	left-hander Chris Guccione	oust seed richard gasquet as	rain mar at Adelaide International tennis tournament Friday	PERSON	ORGANIZATION
1.0	second seed Richard Gasquet of France	storm	go to 5-0 lead in just 12 minute	PERSON	NUMBER
1.0	quarter-final	will	will play Saturday	0	DATE
1.0	other quarter-final	will	will play Saturday	DATE	DATE
