1.0	midnight	have	stroke	O	TIME
1.0	year	have	fireworks	O	DATE
1.0	they	struggle goat at	start of feast of Sacrifice	0	0
1.0	country	celebrate	become	0	0
1.0	authority	also cancel	new year fiesta in city centre	0	0
1.0	their biggest parties	have	way	O	O
0.298122624548545	they	struggle at	start of muslim feast of Sacrifice	0	0
1.0	Communism	have	fall	DATE	MISC
0.6429904308382568	one million people	throng	Australia 's Sydney Harbour for huge firework	NUMBER	LOCATION
0.298122624548545	they	struggle during	attempt at ritual slaughter	0	0
1.0	sparkling New Year ball	make	its famous plunge	DATE	0
1.0	annual New Year 's Eve party	be cancel on	record	DATE	0
1.0	600 people	take	love	NUMBER	0
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by armed basque separatist group ETA	0	DATE
1.0	deadly bombing	cut	short New Year celebration	0	DATE
1.0	revellers	have	majority	O	O
1.0	reveller	be turn away from	Red Square	0	LOCATION
1.0	New Year	coincide with	muslim festival of Eid al-Adha	DATE	0
1.0	outdoor New Year 's Eve party	be cancel	due to rain	DATE	0
0.25331100359622694	german	take advantage with	organiser say	0	0
1.0	bad weather	hamper reveller from	New Zealand	0	LOCATION
1.0	Saturday	have	airport bomb blast	O	DATE
1.0	New Year	create	opportunity for celebration	DATE	0
1.0	estimate 400,000	crowd	Champs-Elysees	NUMBER	0
1.0	reveller	be	in Moscow reportedly turn away from Red Square	0	LOCATION
1.0	reveller	be	in Moscow turn away from Red Square	0	LOCATION
1.0	authority	also cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by armed separatist group ETA	0	DATE
1.0	country	become	member of bloc	0	0
1.0	people	be kill	more	0	0
1.0	majority	up brave	heighten security	0	0
1.0	annual outdoor New Year 's Eve party	be cancel on	record	DATE	0
1.0	skating	have	minutes	DURATION	O
1.0	London Eye	wheel 's	world	LOCATION	0
1.0	sound	show	light	0	0
1.0	outdoor New Year 's Eve party	be	cancel	DATE	0
0.15140126796757591	estimate 400,000	crowd in	Paris	NUMBER	LOCATION
1.0	authority	cancel year fiesta as	precaution follow Saturday 's airport bomb blast claim by armed basque separatist group ETA	0	DATE
1.0	Glasgow	have	hubs	O	LOCATION
1.0	vast majority	however celebrate	pack	0	0
1.0	weather	meanwhile force	cancellation	0	0
1.0	reveller	be	reportedly turn	0	0
0.7518586207057653	goat	start	sheep	0	0
1.0	majority	celebrate	pack into New York 's Times Square	0	LOCATION
1.0	Newcastle	have	cities	O	LOCATION
1.0	bad weather	hamper reveller to	Scotland	0	LOCATION
1.0	two country	become	member	NUMBER	0
1.0	festivities	have	cancellation	O	O
1.0	festivity	be in	New Zealand	0	LOCATION
0.6429904308382568	estimate one million people	throng	Sydney Harbour for huge firework	NUMBER	LOCATION
1.0	ETA bombing	prompt	Madrid	ORGANIZATION	LOCATION
1.0	pop	have	cancellation	O	O
1.0	majority	however celebrate	pack into New York 's Times Square	0	LOCATION
1.0	annual outdoor New Year 's Eve party	be	cancel	DATE	0
