1.0	Mahmoud Ahmadinejad	be for	Israel	PERSON	LOCATION
1.0	israeli Prime Minister Ehud Olmert	sign	several bilateral treaty at meeting with China 's Premier Wen Jiabao	PERSON	LOCATION
1.0	Israeli Prime Minister Ehud Olmert	will visit	Great Wall outside chinese capital	PERSON	LOCATION
1.0	state	consider	islamic republic its arch foe follow repeat call	0	0
1.0	it	be expect	look at thorny question	0	0
1.0	Israeli Prime Minister Ehud Olmert	visit	experimental dairy farm on outskirts of Beijing	PERSON	LOCATION
1.0	israeli Prime Minister Ehud Olmert	sign treaty on	second day of he visit	PERSON	DATE
1.0	sanctions	have	round	O	O
1.0	it	look at	question	0	0
1.0	it	be expect	look	0	0
1.0	China	have	suppliers	O	LOCATION
1.0	Israeli Prime Minister Ehud Olmert	visit	dairy farm on outskirts of Beijing	PERSON	LOCATION
1.0	official	say	speak on condition of anonymity	0	0
1.0	jewish state	consider	islamic republic its arch foe follow call	0	0
1.0	state	consider	islamic republic its arch foe follow repeat call by President Mahmoud Ahmadinejad	0	PERSON
1.0	Olmert 's visit	focus on	bilateral tie between two country	PERSON	NUMBER
1.0	gas	have	suppliers	O	O
1.0	Prime Minister Ehud Olmert	sign	treaty	PERSON	0
1.0	Israeli Prime Minister Ehud Olmert	visit	joint dairy farm	PERSON	0
1.0	Israeli Prime Minister Ehud Olmert	later tour	site of Olympic village	PERSON	MISC
1.0	Beijing for Israel 's call	have	economy	O	O
1.0	it	be also expect	look	0	0
1.0	Iran	of	controversial nuclear programme	LOCATION	0
1.0	Olmert 's visit	focus on	tie between two country	PERSON	NUMBER
1.0	Israeli Prime Minister Ehud Olmert	later tour	site	PERSON	0
1.0	Prime Minister Ehud Olmert	sign	several bilateral treaty at meeting with China 's Premier Wen Jiabao	PERSON	LOCATION
1.0	Israeli Prime Minister Ehud Olmert	visit	joint israeli-chinese dairy farm on outskirts of Beijing	PERSON	LOCATION
1.0	Olmert	have	picture	O	PERSON
1.0	Israeli Prime Minister Ehud Olmert	will visit great wall before	meeting	PERSON	0
1.0	Israeli Prime Minister Ehud Olmert	visit	joint israeli-chinese experimental dairy farm on outskirts of Beijing	PERSON	LOCATION
1.0	Israeli Prime Minister Ehud Olmert	visit	israeli-chinese dairy farm	PERSON	0
1.0	oil	have	suppliers	O	O
1.0	Prime Minister Ehud Olmert	sign	several bilateral treaty	PERSON	0
1.0	China 's Premier Wen Jiabao	have	visit	O	O
1.0	state	consider	republic its arch foe follow repeat call	0	0
1.0	Wen Jiabao	be premier of	China	PERSON	LOCATION
1.0	it	be also expect	look at thorny question	0	0
1.0	israeli Prime Minister Ehud Olmert	be	due	PERSON	0
1.0	Beijing	have	outskirts	O	LOCATION
1.0	Olmert 's visit	be	expect	PERSON	0
1.0	Israeli Prime Minister Ehud Olmert	will visit	Great Wall outside capital	PERSON	LOCATION
1.0	it	be	expect	0	0
1.0	Prime Minister Ehud Olmert	sign treaty on	Wednesday	PERSON	DATE
1.0	Israeli Prime Minister Ehud Olmert	visit	israeli-chinese dairy farm on outskirts	PERSON	0
1.0	anonymity	have	condition	O	O
1.0	israeli Prime Minister Ehud Olmert	sign treaty on	day	PERSON	DATE
1.0	israeli Prime Minister Ehud Olmert	sign treaty on	second day of he three-day visit	PERSON	DATE
1.0	Israeli Prime Minister Ehud Olmert	visit dairy farm on	Tuesday	PERSON	DATE
1.0	state	consider	republic its arch foe follow call by President Mahmoud Ahmadinejad	0	PERSON
1.0	Israeli Prime Minister Ehud Olmert	visit	joint israeli-chinese experimental dairy farm	PERSON	0
1.0	Hu Jintao	be on	Thursday	PERSON	DATE
1.0	Israeli Prime Minister Ehud Olmert	visit	joint experimental dairy farm	PERSON	0
1.0	Israeli Prime Minister Ehud Olmert	visit	joint dairy farm on outskirts of Beijing	PERSON	LOCATION
1.0	israeli Prime Minister Ehud Olmert	sign	bilateral treaty at meeting	PERSON	0
1.0	Prime Minister Ehud Olmert	sign	treaty at meeting	PERSON	0
1.0	Olmert 's visit	be expect	focus on tie between two country	PERSON	NUMBER
1.0	Olmert 's visit	be expect	focus on bilateral tie	PERSON	DATE
1.0	Prime Minister Ehud Olmert	sign	several treaty at meeting with China 's Premier Wen Jiabao	PERSON	LOCATION
1.0	Israeli Prime Minister Ehud Olmert	visit	joint dairy farm on outskirts	PERSON	0
1.0	Prime Minister Ehud Olmert	sign	bilateral treaty	PERSON	0
1.0	israeli Prime Minister Ehud Olmert	sign	several treaty at meeting	PERSON	0
1.0	jewish state	consider	republic its arch foe follow repeat call by President Mahmoud Ahmadinejad	0	PERSON
1.0	Israeli Prime Minister Ehud Olmert	visit	joint israeli-chinese dairy farm on outskirts	PERSON	0
1.0	Prime Minister Ehud Olmert	sign	several treaty	PERSON	0
1.0	Israeli Prime Minister Ehud Olmert	tour	site of Olympic village	PERSON	MISC
1.0	jewish state	consider	republic its arch foe follow call by President Mahmoud Ahmadinejad	0	PERSON
1.0	Prime Minister Ehud Olmert	sign treaty to	Beijing	PERSON	LOCATION
1.0	israeli Prime Minister Ehud Olmert	sign	several bilateral treaty at meeting	PERSON	0
1.0	israeli Prime Minister Ehud Olmert	sign	several treaty	PERSON	0
1.0	jewish state	consider	islamic republic its arch foe follow repeat call by President Mahmoud Ahmadinejad	0	PERSON
1.0	Prime Minister Ehud Olmert	sign	several bilateral treaty at meeting	PERSON	0
1.0	Olmert	have	visit	PERSON	0
1.0	jewish state	consider	republic its arch foe follow call	0	0
1.0	israeli Prime Minister Ehud Olmert	sign	bilateral treaty	PERSON	0
1.0	israeli Prime Minister Ehud Olmert	sign	treaty at meeting	PERSON	0
1.0	it	be expect	look at question	0	0
1.0	jewish state	consider	islamic republic its arch foe	0	0
1.0	jewish state	consider	islamic republic its arch foe follow call by President Mahmoud Ahmadinejad	0	PERSON
1.0	Olmert 's visit	be expect	focus on tie	PERSON	0
1.0	one official	say	speak on condition of anonymity	NUMBER	0
1.0	israeli Prime Minister Ehud Olmert	sign treaty on	Wednesday	PERSON	DATE
1.0	the Islamic republic	have	arch foe	O	O
1.0	israeli Prime Minister Ehud Olmert	sign treaty on	day of he three-day visit	PERSON	DATE
1.0	one official	speak on	condition	NUMBER	0
1.0	state	consider	republic its arch foe	0	0
1.0	Prime Minister Ehud Olmert	sign	treaty at meeting with China 's Premier Wen Jiabao	PERSON	LOCATION
1.0	official	say	speak on condition	0	0
1.0	Israeli Prime Minister Ehud Olmert	visit	israeli-chinese experimental dairy farm on outskirts	PERSON	0
1.0	israeli Prime Minister Ehud Olmert	sign	bilateral treaty at meeting with China 's Premier Wen Jiabao	PERSON	LOCATION
1.0	state	consider	islamic republic its arch foe follow call	0	0
1.0	israeli Prime Minister Ehud Olmert	sign	several treaty at meeting with China 's Premier Wen Jiabao	PERSON	LOCATION
1.0	jewish state	consider	republic its arch foe follow repeat call	0	0
1.0	Israeli Prime Minister Ehud Olmert	visit	joint experimental dairy farm on outskirts	PERSON	0
1.0	jewish state	consider	republic its arch foe	0	0
1.0	Israeli Prime Minister Ehud Olmert	have	second	ORDINAL	O
1.0	official	speak on	condition	0	0
1.0	People	have	Great Hall	LOCATION	LOCATION
1.0	Olmert	have	visit	O	PERSON
1.0	Prime Minister Ehud Olmert	sign treaty on	day	PERSON	DATE
1.0	Israeli Prime Minister Ehud Olmert	will visit	Great Wall	PERSON	LOCATION
1.0	israeli Prime Minister Ehud Olmert	sign treaty to	Beijing	PERSON	LOCATION
1.0	Israeli Prime Minister Ehud Olmert	visit	israeli-chinese dairy farm on outskirts of Beijing	PERSON	LOCATION
1.0	Prime Minister Ehud Olmert	sign treaty on	second day	PERSON	DATE
1.0	Israeli Prime Minister Ehud Olmert	tour	site	PERSON	0
1.0	official	say	speak	0	0
1.0	official	speak on	condition of anonymity	0	0
1.0	Prime Minister Ehud Olmert	sign treaty on	second day of he visit	PERSON	DATE
1.0	programme	have	question	O	O
1.0	picture	appear in	media	0	0
1.0	jewish state	consider	islamic republic its arch foe follow repeat call	0	0
1.0	Ehud Olmert	be	israeli	PERSON	0
1.0	state	consider	islamic republic its arch foe	0	0
1.0	state	consider	islamic republic its arch foe follow call by President Mahmoud Ahmadinejad	0	PERSON
1.0	Israeli Prime Minister Ehud Olmert	visit	joint experimental dairy farm on outskirts of Beijing	PERSON	LOCATION
1.0	Israeli Prime Minister Ehud Olmert	visit	joint israeli-chinese experimental dairy farm on outskirts	PERSON	0
1.0	China	with	Wen Jiabao	LOCATION	PERSON
1.0	Prime Minister Ehud Olmert	sign treaty on	day of he visit	PERSON	DATE
1.0	Israeli Prime Minister Ehud Olmert	visit	israeli-chinese experimental dairy farm on outskirts of Beijing	PERSON	LOCATION
1.0	Israeli Prime Minister Ehud Olmert	visit	experimental dairy farm	PERSON	0
1.0	israeli Prime Minister Ehud Olmert	sign	several bilateral treaty	PERSON	0
1.0	Prime Minister Ehud Olmert	sign	several treaty at meeting	PERSON	0
1.0	it	be	also expect	0	0
1.0	Olmert 's visit	focus on	tie	PERSON	0
1.0	state	consider	republic its arch foe follow call	0	0
