0.6064227805935043	it strain	pinch	nerve	0	0
1.0	European Ryder Cup star Donald as Wie	be play basketball during	lunch break	0	0
1.0	Wie	have	appearance	O	PERSON
1.0	possibility	have	realms	O	O
1.0	Wie	finish near	last in she three man 's appearance	PERSON	NUMBER
1.0	man	in	tournament	0	0
1.0	top man	have	player	0	0
1.0	majors	have	stretch	O	O
1.0	her	have	aim	O	O
1.0	she	hit	ball	0	0
1.0	anyone	have	aim	O	O
1.0	Wie	be	17	PERSON	NUMBER
1.0	my	have	potential	O	O
1.0	this	will	will Wie 's fourth appearance	0	ORDINAL
1.0	that	take	four year	0	DURATION
1.0	European Ryder Cup star Donald as Wie	be	when old	0	DURATION
1.0	PGA players	have	number	O	O
1.0	Wie	finish near	last	PERSON	DATE
1.0	143 other player	will in	where will action	NUMBER	0
1.0	Wie	finish near	last in she three man 's appearance year	PERSON	NUMBER
1.0	one prominent player	speak on	condition of anonymity	NUMBER	0
1.0	her	have	appearances	O	O
1.0	tournaments	have	couple	O	O
1.0	Wie 17	finish near	last in she three man 's appearance year	NUMBER	NUMBER
1.0	Luke Donald	be veteran of	PGA	PERSON	ORGANIZATION
1.0	you	win	it	0	0
1.0	men	have	appearances	O	O
1.0	people	take	a little	0	0
1.0	European Ryder Cup star Donald as Wie	be	old	0	DURATION
1.0	my	have	swing	O	O
1.0	Wie	be	PGA veteran Luke Donald	PERSON	PERSON
1.0	Wie	finish near	last last year	PERSON	DATE
1.0	Wie 's right wrist	be bandage result at_time	Tuesday	PERSON	DATE
1.0	European Ryder Cup star Donald as Wie	be out of	badly form at time	0	DATE
1.0	European Ryder Cup star Donald as Wie	be out of	form	0	0
1.0	Wie	be	European Ryder Cup	PERSON	MISC
1.0	men	have	tournaments	O	O
1.0	other player	will in	will also action	0	0
1.0	143 other player	will in	will also action	NUMBER	0
1.0	work	have	weeks	DURATION	O
