1.0	Bill Clinton	be between	1992 and 1996	PERSON	DATE
1.0	he	serve under	General Colin Powell as intelligence advisor	0	PERSON
1.0	McConnell , 63	will	will latest former military officer of US intelligence infrastructure	PERSON	LOCATION
1.0	McConnell	be commission as	officer	PERSON	0
1.0	US clandestine community	be blame for	failure	LOCATION	0
1.0	director	be	intelligence officer	0	0
1.0	decade	be in	political spotlight	0	0
1.0	the intelligence community	have	role	O	O
0.8878515657608465	new US strategy	be	announce	LOCATION	0
1.0	McConnell , 63	stand at	White House	0	LOCATION
1.0	reshuffle	have	part	O	O
1.0	vice admiral	be name	new director of national intelligence	0	0
1.0	McConnell , 63	will	will latest former officer	PERSON	0
1.0	vice admiral	be name	director of national intelligence	0	0
1.0	US clandestine community	be	blame	LOCATION	0
1.0	McConnell , 63	will	will latest high-ranking former military officer	PERSON	0
1.0	decade	be in	spotlight	0	0
1.0	Cold War	have	end	O	MISC
1.0	McConnell , 63	will	will high-ranking former military officer of US intelligence infrastructure	PERSON	LOCATION
1.0	experience	have	decades	DURATION	O
1.0	retired vice admiral	will	will welcome	0	0
1.0	McConnell , 63	serve as	NSA chief	PERSON	ORGANIZATION
1.0	State	have	Deputy Secretary	O	ORGANIZATION
1.0	will latest high-ranking former military officer	take	control	0	0
1.0	piece	have	control	O	O
