1.0	other part	be with	saw	0	0
1.0	news	dominate media with	family know with two luxurious foreign car in neighborhood dot with condominium	0	NUMBER
1.0	he	be investigate on	suspicion of murder	0	0
1.0	body	wrap in	four plastic bag	0	NUMBER
1.0	Azumi	be discover at_time	Wednesday	PERSON	DATE
1.0	news	dominate media with	family know as amicable with two foreign car in neighborhood	0	NUMBER
1.0	news	dominate media with	family know with two luxurious foreign car in neighborhood dot	0	NUMBER
1.0	news	dominate media with	family know with two luxurious foreign car	0	NUMBER
1.0	news	dominate media with	family know with two luxurious foreign car in neighborhood dot with condominium near hub	0	NUMBER
1.0	news	dominate media with	family know as amicable with two car	0	NUMBER
1.0	news	dominate media with	family know with two car in neighborhood dot with condominium near hub of Shibuya	0	NUMBER
1.0	Azumi	be discover by	she mother	PERSON	0
1.0	news	dominate media with	family know with two car in neighborhood dot	0	NUMBER
1.0	news	dominate media with	family know with two luxurious foreign car in neighborhood dot with condominium near commercial hub of Shibuya	0	NUMBER
1.0	Shibuya	have	hubs	O	LOCATION
1.0	Yuki	be think	have away cram program	PERSON	0
1.0	news	dominate media with	family know as amicable with two car in neighborhood dot	0	NUMBER
1.0	murder	have	suspicion	O	O
1.0	two luxurious foreign car	be in	neighborhood dot with condominium near commercial hub of Shibuya	NUMBER	LOCATION
1.0	news	dominate media with	family know with two luxurious car in neighborhood dot with condominium near hub	0	NUMBER
1.0	news	dominate media with	family know as amicable with two car in neighborhood	0	NUMBER
1.0	Yuki	be initially think	have program	PERSON	0
1.0	news	dominate media with	family know as amicable with two luxurious car in neighborhood dot	0	NUMBER
1.0	news	dominate media with	family know with two luxurious car in neighborhood dot with condominium near commercial hub of Shibuya	0	NUMBER
