1.0	area	be in	Africa	0	LOCATION
1.0	Ethiopia	fight war at	still odds over they unresolved border conflict	LOCATION	0
1.0	Ethiopia	have justify	its military intervention in Somalia	LOCATION	LOCATION
1.0	ethiopian military intervention	pose	dangerous consequence to country	0	0
1.0	ethiopian military intervention	pose	consequence to country	0	0
1.0	military intervention	pose	dangerous consequence	0	0
1.0	intervention	pose	dangerous consequence	0	0
1.0	ethiopian intervention	pose	US airstrike	0	LOCATION
1.0	Ethiopia	fight war at	still odds over they unresolved 1998-2000 border conflict	LOCATION	DURATION
1.0	Al-Qaeda suspects	have	strongholds	O	O
1.0	weak somali government week	oust islamists from	stronghold	DATE	0
1.0	intervention	pose	consequence to country	0	0
1.0	country	be hit by	flooding	0	0
1.0	military intervention	pose	consequence	0	0
1.0	Ethiopia	fight war at	odds over they unresolved border conflict	LOCATION	0
1.0	intervention	pose	dangerous consequence to country	0	0
1.0	intervention	pose	US airstrike	0	LOCATION
1.0	government last week	oust islamists from	they stronghold	DATE	DURATION
1.0	Asmara	renew	previous denial of such intention	LOCATION	0
1.0	government week	oust islamists from	they stronghold	DATE	DURATION
1.0	ethiopian military intervention	pose	dangerous consequence to lawless country	0	0
1.0	somali government week	oust islamists from	they stronghold	DATE	DURATION
1.0	its military intervention	be in	Somalia	0	LOCATION
1.0	weak somali government	oust islamists from	stronghold	0	0
1.0	weak government last week	oust islamists from	they stronghold	DATE	DURATION
1.0	intentions	have	denials	O	O
0.6122694418099897	international community	take	serious measure	0	0
1.0	weak somali government	oust islamists from	they stronghold	0	DURATION
1.0	government	oust islamists from	stronghold	0	0
1.0	military intervention	pose	dangerous consequence to country	0	0
1.0	weak government last week	oust islamists from	stronghold	DATE	0
1.0	grave situation	be in	Somalia	0	LOCATION
1.0	somali government	oust islamists from	they stronghold	0	DURATION
0.5240327353091624	Asmara	denial of	such intention	LOCATION	0
1.0	Ethiopia	have justify	its intervention	LOCATION	0
1.0	Ethiopia	fight war at	still odds	LOCATION	0
1.0	US	say on	day	LOCATION	DATE
1.0	country	be	hit	0	0
1.0	somali government	oust islamists from	stronghold	0	0
1.0	Analysts	have	border conflict	O	O
1.0	government last week	oust islamists from	stronghold	DATE	0
1.0	Africa region	have	Horn	LOCATION	O
1.0	military intervention	pose	US airstrike	0	LOCATION
1.0	ethiopian military intervention	pose	consequence to lawless country	0	0
1.0	weak government	oust islamists from	stronghold	0	0
1.0	Ethiopia	fight	war	LOCATION	0
1.0	country	be hit in	decade	0	0
1.0	weak somali government last week	oust islamists from	stronghold	DATE	0
0.22607928045789227	Ethiopia	proxy war	Eritrea	LOCATION	LOCATION
1.0	Ethiopia	fight war at	odds	LOCATION	0
1.0	intervention	pose	consequence	0	0
1.0	ethiopian military intervention	pose	US airstrike	0	LOCATION
1.0	analyst	have express	fear	0	0
1.0	ethiopian military intervention	pose	dangerous consequence	0	0
1.0	Ethiopia	fight	proxy war	LOCATION	0
