1.0	Kabul	in spokesman be	Major Dominic Whyte	LOCATION	PERSON
1.0	aggressive recruitment campaign	provide	steady supply	0	0
1.0	worth dollar	be intend	win over man	0	0
1.0	aggressive recruitment campaign	neighbour	madrassa	0	0
1.0	ISAF	have tout operation since	2001	ORGANIZATION	DATE
1.0	fighters	be	say	0	0
1.0	commander	be say	fourth in rank of oust Taliban leadership	0	ORDINAL
1.0	number	be	unclear	0	0
1.0	this	be	small	0	0
1.0	Taliban	be	topple	ORGANIZATION	0
1.0	President Hamid Karzai	have make	regular appeal	PERSON	0
1.0	anonymity	have	condition	O	O
1.0	no future	have	allies	O	O
1.0	strategy	be in	earnest	0	0
0.5188180743982628	people	be kill in	some of fighting	0	0
1.0	insurgency	have	year	DURATION	O
1.0	slay commander	be say	fourth in rank of oust Taliban leadership	0	ORDINAL
1.0	recruitment campaign	neighbour	madrassa	0	0
1.0	President Hamid Karzai	have make	appeal	PERSON	0
1.0	dollar	be intend in	panjwayi development project	0	0
0.9014553960127855	military force	battle unrest in	Afghanistan	0	LOCATION
1.0	Al-Qaeda leader Osama bin Laden	have	associate	O	PERSON
1.0	force	be increasingly target	insurgency 's hardline leader	0	0
1.0	fighters	run into	several thousand	0	NUMBER
0.242225288846595	aggressive recruitment campaign	supply	fundamentalist madrassa	0	0
1.0	Mullah Mohammad Omar	be head of	Taliban	PERSON	ORGANIZATION
0.633593924617174	government	say in	October	0	DATE
1.0	us-led coalition	be in	late 2001	0	DATE
1.0	slay commander	be	say	0	0
1.0	NATO	at	base	ORGANIZATION	0
1.0	worth dollar	be intend in	panjwayi development project	0	0
1.0	commander	be	say	0	0
1.0	Omar	be chief of	Taliban	PERSON	ORGANIZATION
1.0	isaf official	cite	December 19 killing of commander Akhtar Mohammad Osmani	0	PERSON
1.0	force	be target	insurgency 's hardline leader	0	0
1.0	ISAF spokesman	be in	Kabul	ORGANIZATION	LOCATION
1.0	dollar	be	intend	0	0
0.9014553960127855	force	battle	taliban-led unrest	0	0
0.242225288846595	aggressive recruitment campaign	supply	madrassa	0	0
1.0	worth dollar	win over	man	0	0
1.0	recruitment campaign	provide	madrassa	0	0
1.0	commander	be say	fourth	0	ORDINAL
0.5188180743982628	people	be kill in	most of rebel	0	0
1.0	fighters	be say	run into several thousand	0	NUMBER
1.0	their	have	arms	O	O
1.0	slay commander	be say	fourth	0	ORDINAL
1.0	dollar	win over	such man	0	0
1.0	suicide	have	brunt	O	O
1.0	Kandahar	have	province	O	LOCATION
1.0	aggressive recruitment campaign	neighbour	fundamentalist madrassa	0	0
1.0	Taliban head Mullah Mohammad Omar	have	associate	O	PERSON
1.0	them	have	rest	O	O
0.5188180743982628	people	be kill in	some fiercest fighting	0	0
0.242225288846595	recruitment campaign	supply	fundamentalist madrassa	0	0
1.0	uprising	have	leader such Taliban chief Omar	0	PERSON
1.0	recruitment campaign	neighbour	fundamentalist madrassa	0	0
1.0	dollar	win over	man	0	0
0.242225288846595	aggressive recruitment campaign	steady supply	fundamentalist madrassa	0	0
1.0	fighters	have	scores	O	O
1.0	ISAF	have tout	operation as Taliban 's defeat	ORGANIZATION	ORGANIZATION
1.0	Helmand	have	province	O	LOCATION
1.0	insurgency	have	hardline leader	0	0
1.0	uprising	have	leaders	O	O
0.9014553960127855	force	battle	unrest	0	0
1.0	isaf official	cite	December 19 killing	0	DATE
0.5188180743982628	people	be kill in	some fighting	0	0
1.0	worth dollar	be	intend	0	0
1.0	new operation	be in	volatile panjwayi district of southern province of Kandahar three week ago	0	DATE
1.0	fighters	be say	run	0	0
1.0	recruitment campaign	neighbour	Pakistan	0	LOCATION
1.0	ISAF	have tout	operation as Taliban 's biggest defeat	ORGANIZATION	ORGANIZATION
1.0	aggressive recruitment campaign	provide	madrassa	0	0
1.0	Taliban	have	defeat	O	ORGANIZATION
1.0	fledgling Afghan army	have	same approach	MISC	0
1.0	slay commander	associate of	Mullah Mohammad Omar	0	PERSON
1.0	aggressive recruitment campaign	provide	supply	0	0
1.0	dollar	be intend	win	0	0
1.0	operation	have	start	O	O
0.9014553960127855	force	battle unrest in	Afghanistan	0	LOCATION
1.0	slay commander	be say	fourth in rank	0	ORDINAL
1.0	aggressive recruitment campaign	provide	fundamentalist madrassa	0	0
1.0	slay commander	be say	fourth in rank of Taliban leadership	0	ORDINAL
1.0	Marsh	tell	afp	PERSON	0
1.0	Taliban	have	numbers	O	ORGANIZATION
