1.0	team	be due in	Indonesia Saturday	0	DATE
0.9586979926470376	wreckage	have	have find on remote mountain near town in West Sulawesi province	0	LOCATION
1.0	Air	be common in	archipelago nation	0	0
1.0	Air	be common in	archipelago nation stretch over 5,000 kilometre	0	NUMBER
1.0	effort	be initially concentrate in	western Sulawesi	0	LOCATION
1.0	massive air operation	have	have expand to northeast	0	0
0.7837778397359924	archipelago nation	stretch over	5,000 kilometre	0	NUMBER
1.0	US aviation experts	have	team	O	O
1.0	he	have call from	search team	0	0
1.0	an area of 10	have	even on land have expand for example to 20 by 40 kilometre	0	NUMBER
1.0	10	have	area	O	NUMBER
1.0	effort	be	concentrate in western Sulawesi on sea off Majene	0	LOCATION
1.0	Air	be common in	vast archipelago nation	0	0
1.0	effort	be initially concentrate in	Sulawesi	0	LOCATION
1.0	Singapore	have deploy	fokker-50 help in search	LOCATION	0
0.9586979926470376	wreckage	have	have find on remote jungle-covered mountain near town of Polewali in West Sulawesi province	0	LOCATION
1.0	Singapore	have deploy	fokker-50 help	LOCATION	0
1.0	Air	be common in	vast archipelago nation stretch over 5,000 kilometre	0	NUMBER
0.7837778397359924	vast archipelago nation	stretch over	5,000 kilometre	0	NUMBER
1.0	an area of 10	have	have expand for example to 20 by 40 kilometre	0	NUMBER
1.0	effort	be	concentrate in Sulawesi on sea	0	LOCATION
1.0	Air	be common in	vast archipelago nation stretch	0	0
1.0	Polewali	have	town	O	LOCATION
1.0	effort	be initially concentrate on	sea off Majene	0	LOCATION
1.0	frantic relative	wait for	news of they love one	0	0
0.9586979926470376	wreckage	have	have find on remote mountain in West Sulawesi province	0	LOCATION
1.0	effort	base on	plane 's known position	0	0
1.0	effort	be concentrate in	western Sulawesi	0	LOCATION
1.0	relative	wait for	news of they love one	0	0
0.9586979926470376	wreckage	have	have find on remote jungle-covered mountain	0	0
0.9586979926470376	wreckage	have	have find on jungle-covered mountain near town of Polewali in West Sulawesi province	0	LOCATION
1.0	an area of 10	have	on land have expand for example to 20	0	NUMBER
1.0	plane	have	trace	O	O
0.9586979926470376	wreckage	have	have find on remote mountain	0	0
1.0	massive air operation	have	have expand	0	0
1.0	plane	on	last known position	0	0
0.9586979926470376	wreckage	have	have find on mountain near town of Polewali	0	LOCATION
1.0	an area of 10	have	even on land have expand for example to 20	0	NUMBER
1.0	effort	be	initially concentrate in Sulawesi on sea	0	LOCATION
1.0	ones	have	news	O	O
0.5368487492027397	wreckage	remote mountain	survivor	0	0
0.9586979926470376	wreckage	have	have find on remote mountain near town of Polewali	0	LOCATION
1.0	frantic relative	wait for	news of they one	0	0
1.0	Singapore	have deploy	fokker-50	LOCATION	0
0.9586979926470376	wreckage	have	have find on jungle-covered mountain near town of Polewali	0	LOCATION
1.0	Adam Air Boeing	be with	96 passenger	ORGANIZATION	NUMBER
1.0	96 passengers	be search	area	0	0
1.0	an area of 10	have	even on land have expand for example by 40 kilometre	0	NUMBER
1.0	an area of 10	have	even on land have expand	0	0
