1.0	invasion	have	opening night	TIME	O
1.0	dictatorial chic	have	opponents	O	O
1.0	initials	have	thousands	O	O
1.0	today 's diplomat	surround	they government 's determine enemy	DATE	0
1.0	two wing	be with	1995 inscription	NUMBER	DATE
1.0	you	have only	look to you leader-president	0	0
1.0	he regime	call	palace	0	0
1.0	structure	have	beginning	O	O
0.949401525527839	power	word in	chic	0	0
1.0	today 's american diplomat	surround by	thousand	DATE	0
0.949401525527839	absolute power	last word in	chic	0	0
1.0	many	be symbol of	repression	0	0
1.0	Tikrit	be hometown of	Saddam	LOCATION	PERSON
1.0	excesses	have	memories	O	O
1.0	memory	live on	on he resplendent palace still use	0	0
1.0	palace	cover	total	0	0
1.0	Saddam	have	Palace	ORGANIZATION	PERSON
1.0	His	have	regime	O	O
1.0	final two	overlook northwest	lake	NUMBER	0
1.0	bunker	finish in	2000	0	DATE
1.0	regime	have	headquarters	O	O
1.0	palaces	have	many	O	O
1.0	today 's diplomat	surround by	thousand of initial of one	DATE	NUMBER
1.0	Believers	have	Palace	O	O
1.0	final two	overlook	lake	NUMBER	0
0.949401525527839	absolute power	word in	dictatorial chic	0	0
1.0	River Tigris	have	waters	O	LOCATION
1.0	supreme leader Saddam Hussein	be	dead	PERSON	0
1.0	despot	have	rotunda hall	O	O
1.0	People	have	Palace	ORGANIZATION	ORGANIZATION
1.0	their	have	government	O	O
1.0	people	have	palaces	O	O
1.0	Saddam	have	hometown Tikrit	LOCATION	PERSON
1.0	memory	live on	on he palace use	0	0
1.0	Iraqis	have	millions	O	MISC
1.0	today 's american diplomat	surround	they government 's most determine enemy	DATE	0
1.0	they	hit	fake floor	0	0
1.0	last word	be in	dictatorial chic	0	0
0.6700596026956759	soldier	oath of	US citizenship	0	LOCATION
1.0	al-faw palace	allegiance in	despot 's resplendent rotunda hall	0	0
1.0	despot	in	resplendent rotunda hall	0	0
1.0	marble	have	crateloads	O	O
1.0	today 's american diplomat	surround by	thousand of initial of one	DATE	NUMBER
1.0	US force	cause	impressive damage	LOCATION	0
1.0	your	have	leader-president	O	O
1.0	Baghdad	be near	Samarra	LOCATION	LOCATION
1.0	their	have	walls	O	O
1.0	many	be	symbol	0	0
1.0	lake	be in	Salaheddin province	0	LOCATION
1.0	opponents	have	many	O	O
1.0	your	have	leader	O	O
1.0	today	have	american diplomat in Baghdad work	DATE	LOCATION
