1.0	mining shares	have	value	O	O
1.0	takeover activity	drive higher	stock	0	0
1.0	fervent takeover activity	drive stock strongly higher during	2006	0	DATE
1.0	takeover activity	drive	stock	0	0
1.0	fervent takeover activity	drive	european stock	0	0
1.0	european stock market	have close since	first half	0	DATE
1.0	fervent takeover activity	drive stock during	2006	0	DATE
1.0	Hang Seng	close off	new all-time high	0	0
1.0	takeover activity	help	strong company earnings	0	0
1.0	market	cap for	country 's market	0	0
1.0	market player	be meanwhile await	the	0	0
1.0	Germany	have	DAX	O	LOCATION
1.0	DAX index	be unchanged at	6,681.14 point	MISC	NUMBER
1.0	mining group Antofagasta	slump	3.29 percent	LOCATION	PERCENT
1.0	stock market	steady in	early trading	DURATION	DURATION
1.0	stock market	have close since	first half	0	DATE
1.0	market player	be await	the reopen of Wall Street	0	0
1.0	stock market	have close since	half	0	DATE
1.0	Hong Kong	have	Hang Seng Index	LOCATION	MISC
1.0	fervent takeover activity	drive higher	company earnings	0	0
1.0	european stock market	have close	sharply higher with London	0	LOCATION
1.0	takeover activity	drive strongly higher	stock	0	0
1.0	market	cap at_time	buoyant year	0	DURATION
1.0	Dow	end below	its record of 12,510.57	MISC	NUMBER
1.0	stock market	have close	higher on Tuesday with London	0	DATE
1.0	european stock market	steady in	early trading on Wednesday	DURATION	DURATION
1.0	Dow	end just below	its all-time record	MISC	0
1.0	chilean mining group Antofagasta	slump	3.29 percent	LOCATION	PERCENT
1.0	Market players	have	levels	O	O
1.0	takeover activity	drive	european stock	0	0
1.0	Hang Seng	close up off	high	0	0
1.0	Tokyo market	reopen on	Thursday for half-day session follow year break	LOCATION	DATE
1.0	Xstrata	be	anglo-swiss	ORGANIZATION	0
1.0	Dow Jones Industrial Average	close down in	US deal	MISC	LOCATION
1.0	market player	be await	the	0	0
1.0	european stock market	have close	higher on Tuesday with London	0	DATE
1.0	Gerald Ford	be president of	US	PERSON	LOCATION
1.0	fervent takeover activity	drive higher	strong company earnings	0	0
1.0	stock market	steady in	trading on Wednesday	DURATION	DURATION
1.0	european stock market	steady in	trading on Wednesday	DURATION	DURATION
1.0	Hang Seng	close off	all-time high of 20,554.58 hit	0	NUMBER
1.0	Dow	end below	its all-time record	MISC	0
1.0	New Year sentiment	have	wave	O	O
1.0	market player	be meanwhile await	the reopen of Wall Street follow start	0	0
0.13395351784420906	mining group Antofagasta	slump in	London 's	LOCATION	LOCATION
1.0	fervent takeover activity	drive strongly higher	company earnings	0	0
1.0	US market	be	close	LOCATION	0
1.0	stock market	close at	level	DURATION	0
1.0	market player	be meanwhile await	the of Wall Street	0	0
1.0	Tokyo market	reopen on	Thursday for session follow new year break	LOCATION	DATE
1.0	Wall Street following the start of 2007	have edge at_time	Friday	0	DATE
1.0	european stock market	steady in	early trading	DURATION	DURATION
1.0	takeover activity	drive strongly higher	european stock	0	0
1.0	Hang Seng	close off	new all-time high of 20,554.58 hit	0	NUMBER
1.0	takeover activity	drive strongly higher	company earnings	0	0
1.0	stock market	have close	higher	0	0
1.0	stock market	have close on	wave of positive New year sentiment	0	DATE
1.0	stock market	close at	level for almost six year	DURATION	DURATION
1.0	Mittal Steel	drop	2.04 percent	ORGANIZATION	PERCENT
1.0	shares	have	FTSE index	O	O
1.0	DAX 30 index	be unchanged at	6,681.14 point	NUMBER	NUMBER
1.0	Paris CAC	edge to	5,615.39 point	LOCATION	NUMBER
1.0	Anglo American	slide	1.88 percent	ORGANIZATION	PERCENT
1.0	market player	be meanwhile await	the reopen	0	0
1.0	stock market	have close on	wave of New year sentiment	0	DATE
1.0	anglo-swiss company Xstrata	dive	3.08 percent	ORGANIZATION	PERCENT
1.0	market player	be await	the reopen	0	0
1.0	Wall Street	have	the	O	O
1.0	Dow Jones Industrial Average	close in	US deal on Friday	MISC	LOCATION
1.0	US financial market	mark	death	LOCATION	0
0.13395351784420906	chilean mining group Antofagasta	slump to	499 pence	LOCATION	MONEY
1.0	takeover activity	drive	company earnings	0	0
