1.0	he wife	tell	afp	0	0
1.0	gunman	fire on	funeral	0	0
1.0	they	be deadliest clash since	December 19	0	DATE
1.0	unknown gunman	fire for	three of victim of clash there	0	NUMBER
1.0	violence	come despite	deal	0	0
0.07525361047731705	palestinian factional tension	erupt again into	violence	DURATION	0
1.0	palestinian tension	erupt day into	violence	DURATION	0
1.0	president Mahmud Abbas	have	Fatah party	O	PERSON
1.0	factional tension	erupt day into	violence	DURATION	0
1.0	five people deal	restore	calm	NUMBER	DURATION
1.0	Wasfi Kabha	tell	AFP	PERSON	ORGANIZATION
1.0	factional tension	erupt again day into	violence	DURATION	0
1.0	Israeli fire	be in	Beit Lahiya	MISC	LOCATION
0.6588235012320286	five people	be	kill	NUMBER	0
0.07525361047731705	tension	erupt into	violence	0	0
1.0	Beit Lahiya	be in	Gaza	LOCATION	LOCATION
1.0	palestinian factional tension	erupt	day	DURATION	DURATION
1.0	unidentified gunman	fire in	government	0	0
1.0	unidentified gunman	fire on	house	0	0
1.0	violence	come at_time	Wednesday	0	DATE
1.0	gunman	fire for	three victim of clash there on Wednesday	0	NUMBER
1.0	gunman	meanwhile fire in	Wasfi Kabha	0	PERSON
1.0	unidentified gunman	fire on	house of prisoner minister	0	0
1.0	my	have	husband	O	O
1.0	they	be	clash	0	0
1.0	unknown gunman	fire for	three victim	0	NUMBER
1.0	unknown gunman	fire for	three of victim of clash	0	NUMBER
0.6588235012320286	five people	be kill in	Gaza Strip	NUMBER	DURATION
1.0	gunman	meanwhile fire in	hamas-led government	0	0
1.0	president Mahmud Abbas 's Fatah party	restore	calm	ORGANIZATION	0
1.0	victims	have	three	NUMBER	O
1.0	factional tension	erupt	day	DURATION	DURATION
1.0	unidentified gunman	fire in	West Bank town of Jenin	0	LOCATION
1.0	tension	erupt again	day	0	DURATION
