1.0	Old Bailey	be in	London	LOCATION	LOCATION
1.0	court case	come	struggle against Taliban insurgent in south of Afghanistan	0	LOCATION
1.0	judge	accept	prosecution objection concern	0	0
1.0	court case	come	struggle against expect Taliban insurgent in south of Afghanistan invade by us-led force follow September 11	0	DATE
1.0	state	have	safety	O	O
1.0	Daniel James	interpreter to	David Richards	PERSON	PERSON
0.932196396705269	Pashtun	one	main language	MISC	0
1.0	court case	come struggle as	force	0	0
1.0	court case	come	struggle against Taliban insurgent in south of Afghanistan invade	0	LOCATION
1.0	Richards	be	head of NATO 's more than International Security Assistance Force in Afghanistan	PERSON	ORGANIZATION
1.0	court case	come	struggle against expect Taliban insurgent in south of Afghanistan invade	0	LOCATION
1.0	corporal Daniel James	be	during he appearance at Old Bailey remand in custody until plea on June 15	PERSON	LOCATION
0.932196396705269	fluent Pashtun	one of	main language in Afghanistan	MISC	LOCATION
1.0	court case	come	struggle against Taliban insurgent invade by force	0	ORGANIZATION
1.0	duty	have	act	O	O
1.0	corporal Daniel James	be remand until	plea	PERSON	0
1.0	lawyer Paul Raudnitz	be	take into custody month on charge allege	0	DATE
1.0	he	have	have charge	0	0
1.0	corporal Daniel James	be	during he appearance at Old Bailey remand until plea	PERSON	LOCATION
1.0	court case	come	struggle in south invade by us-led force	0	0
1.0	judge	reject	request	0	0
1.0	court case	come	struggle against Taliban insurgent in south invade by us-led force follow September 11	0	DATE
1.0	corporal Daniel James	be remand until	plea on June 15	PERSON	DATE
1.0	lawyer Paul Raudnitz	be	take into custody on charge allege	0	0
1.0	lawyer Paul Raudnitz	be take into	custody	0	0
1.0	court case	come	struggle against expect Taliban insurgent in south invade by force follow September 11	0	DATE
0.932196396705269	fluent Pashtun	one of	language in Afghanistan	MISC	LOCATION
1.0	court case	come	struggle	0	0
1.0	court case	come	struggle in south of Afghanistan invade by us-led force	0	LOCATION
1.0	court case	come	struggle in south invade by force	0	0
1.0	corporal Daniel James	be	during he appearance remand in custody until plea	PERSON	0
1.0	court case	come	struggle against Taliban insurgent in south of Afghanistan invade by us-led force	0	LOCATION
1.0	corporal Daniel James	be	during he appearance at Old Bailey remand until plea on June 15	PERSON	LOCATION
1.0	lawyer Paul Raudnitz	defend	James 44	PERSON	PERSON
1.0	lawyer Paul Raudnitz	intend	useful	0	0
0.932196396705269	fluent Pashtun	one	language	MISC	0
1.0	charge	heighten	tension	0	0
1.0	struggle	be in	south of Afghanistan	0	LOCATION
1.0	court case	come	struggle against expect Taliban insurgent invade	0	ORGANIZATION
