1.0	embattled president	on	plan	0	0
1.0	US President George W. Bush	take blame at_time	Wednesday	LOCATION	DATE
1.0	Bush	pin hope for	viable democracy	PERSON	0
1.0	our	have	strategy	O	O
1.0	Harry Reid	be	Senate	PERSON	ORGANIZATION
1.0	Iraq	have	government	O	LOCATION
1.0	Our	have	commanders	O	O
1.0	their	have	territory	O	O
1.0	George W. Bush	be president of	US	PERSON	LOCATION
1.0	Bush	instead pin hope for	democracy	PERSON	0
1.0	failure	have	admission	O	O
1.0	US President George W. Bush	point in	admission of failure	PERSON	0
1.0	US President George W. Bush	order	21,500 more US troops	LOCATION	LOCATION
1.0	Bush	reject under	pressure	PERSON	0
1.0	US President George W. Bush	point in	specific admission	PERSON	0
1.0	our	have	forces	O	O
1.0	we	will disrupt attack on	we force	0	0
1.0	country	have	control	O	O
1.0	the Iraqi government	have	promises	O	O
1.0	Iran	use	they territory	LOCATION	0
1.0	Iran	use	Syria	LOCATION	LOCATION
1.0	the Iraqi government	will lose	support of people	0	0
1.0	we new strategy	even work exactly as	terrorist	0	0
1.0	US President George W. Bush	point in	rare admission of failure	PERSON	0
1.0	Israeli	have	resolution	O	MISC
0.6937698971408544	fresh	anger at	Bush 's handling	0	PERSON
1.0	US President George W. Bush	take blame for	blunder in Iraq	LOCATION	LOCATION
1.0	president	face	uphill battle	0	0
1.0	US President George W. Bush	speech in	prime-time	PERSON	0
1.0	US President George W. Bush	tell at_time	public nearly four year	0	DURATION
1.0	Iran	move of	Iraq	LOCATION	LOCATION
1.0	US President George W. Bush	tell into	conflict	0	0
1.0	our	have	involvement	O	O
0.7417687184648319	fresh	retake	US Congress	0	LOCATION
1.0	Democrats	have	calls	O	MISC
1.0	Maliki	reinforce	Baghdad security	PERSON	LOCATION
1.0	Baghdad	have	leader do	LOCATION	0
1.0	US President George W. Bush	take blame for	blunder	LOCATION	0
1.0	US president	take	more aggressive step	LOCATION	0
1.0	Iran	move	Syria	LOCATION	LOCATION
1.0	US President George W. Bush	secure	Baghdad	PERSON	LOCATION
1.0	his	have	allies	O	O
0.9150898653282052	US President George W. Bush	speech from	White House	PERSON	LOCATION
1.0	Bush	reject under	heavy pressure	PERSON	0
1.0	Iraq	have	move	O	LOCATION
1.0	US President George W. Bush	point to	past effort	PERSON	DATE
1.0	government	fight	sectarian violence	0	0
1.0	Bush	pin	hope	PERSON	0
1.0	Maliki	make	clear	PERSON	0
1.0	president	face	battle	0	0
1.0	Iraq	have	economy	O	LOCATION
1.0	strategic blunder	be in	Iraq	0	LOCATION
1.0	support	have	flow	O	O
1.0	our	have	enemies	O	O
1.0	US President George W. Bush	have	push	O	O
0.6937698971408544	fresh	anger at	Bush 's handling of Iraq	0	LOCATION
1.0	Iraq	have	neighbor	LOCATION	0
1.0	Congress	be in	part thanks	ORGANIZATION	0
1.0	Iran	charge	Syria	LOCATION	LOCATION
1.0	Nuri al Maliki	be	iraqi	PERSON	0
1.0	US public	have	Much	O	O
1.0	US President George W. Bush	point in	rare specific admission	PERSON	0
1.0	government	have	collapse	O	O
1.0	we new strategy	even work as	terrorist	0	0
1.0	George W. Bush	be	US	PERSON	LOCATION
1.0	Bush	instead pin	fading hope	PERSON	0
1.0	US President George W. Bush	take blame for	strategic blunder in Iraq	LOCATION	LOCATION
1.0	Nancy Pelosi	be speaker of	House	PERSON	ORGANIZATION
1.0	iraqi government	fight	sectarian violence	0	0
1.0	Senate Majority Leader Harry Reid	say after	speech	PERSON	0
1.0	US president	take	step	LOCATION	0
1.0	we strategy	even work exactly as	terrorist	0	0
1.0	Iraq	have	security force	LOCATION	0
1.0	Bush	pin hope for	democracy	PERSON	0
1.0	allies	have	many	O	O
0.6617117035432797	the Iraqi government	support of	people	0	0
1.0	Senate Majority Leader Harry Reid	say	House Speaker Nancy Pelosi	PERSON	PERSON
1.0	people	have	support	O	O
