1.0	change	be in	wording as signal	0	0
1.0	currency	be in	at 1.2906 dollar after 1.2935 Wednesday New York	0	NUMBER
1.0	their	have	communication policy	O	O
1.0	Michael Saunders	be at	Citigroup	PERSON	ORGANIZATION
0.670813497539887	it	last make in	its November inflation report	0	DATE
1.0	gold	have	price	O	O
1.0	boe	have	advance knowledge	0	0
1.0	yen	elsewhere weaken significantly with	dollar break above level in over year	0	DURATION
1.0	yen	weaken with	dollar break above level for time in over year	0	DURATION
1.0	price	rise to	612 dollar per ounce	0	MONEY
1.0	yen	weaken significantly with	dollar break above 120-yen level for time in over year	0	DURATION
1.0	percent figure	have	chance	O	O
1.0	England	have	Bank	ORGANIZATION	ORGANIZATION
1.0	yen	weaken significantly across	board	0	DURATION
1.0	bank	have	February meeting	O	O
1.0	yen	elsewhere weaken with	dollar	0	DURATION
1.0	yen	weaken significantly with	dollar break above 120-yen level for first time in over year	0	ORDINAL
1.0	yen	elsewhere weaken significantly with	dollar break above 120-yen level in over year	0	DURATION
1.0	yen	elsewhere weaken significantly with	dollar break above level for first time in over year	0	ORDINAL
1.0	european currency	be in	at 1.2906 dollar after 1.2935 late Wednesday New York	0	NUMBER
1.0	Bank	catch analyst by	surprise	ORGANIZATION	0
1.0	yen	weaken with	dollar break above level for time	0	DURATION
1.0	yen	weaken significantly with	dollar break above level	0	DURATION
1.0	european currency	be in	at 1.2906 dollar after 1.2935 Wednesday New York	0	NUMBER
1.0	dollar	stand at	120.43 yen	0	MONEY
1.0	pound	be	be trade	0	0
1.0	euro	fall against	dollar	0	0
1.0	currency	be in	at 1.2906 dollar after 1.2935 late Wednesday New York	0	NUMBER
1.0	March hike	come perhaps later in	year	DATE	DATE
1.0	ecb	hold	rate steady	0	0
1.0	yen	weaken with	dollar break above 120-yen level for time	0	DURATION
1.0	yen	weaken significantly with	dollar break above 120-yen level	0	DURATION
1.0	yen	elsewhere weaken with	dollar break above 120-yen level in over year	0	DURATION
1.0	yen	weaken significantly with	dollar break above level for first time	0	ORDINAL
1.0	yen	elsewhere weaken with	dollar break above level for first time	0	ORDINAL
1.0	euro	be change hand at	1.2906 dollar against 1.2935 dollar	0	MONEY
1.0	single european currency	be in	at 1.2906 dollar New York	0	MONEY
1.0	currency	be in	New York	0	LOCATION
1.0	single european currency	be in	at 1.2906 dollar after 1.2935 Wednesday New York	0	NUMBER
1.0	ecb	decide	hold	0	0
1.0	japanese currency	have under	have pressure recently	0	DATE
1.0	dollar	stand at	1.2464	0	NUMBER
1.0	yen	elsewhere weaken significantly with	dollar break above 120-yen level	0	DURATION
1.0	bank president Jean Claude-Trichet	replace	word	PERSON	0
1.0	yen	elsewhere weaken with	dollar break in over year	0	DURATION
1.0	european currency	be in	at 1.2906 dollar New York	0	MONEY
1.0	yen	weaken with	dollar break above level for first time in over year	0	ORDINAL
1.0	pound	meanwhile spike	higher	0	0
1.0	yen	weaken with	dollar break above 120-yen level for first time	0	ORDINAL
1.0	card	be with	another	0	DATE
1.0	March hike	be very much on	card with another	DATE	DATE
1.0	yen	elsewhere weaken significantly with	dollar break above level for time in over year	0	DURATION
1.0	yen	weaken significantly with	dollar break above level for time in over year	0	DURATION
1.0	currency	have under	have pressure recently	0	DATE
1.0	price	rise to	612 dollar	0	MONEY
1.0	yen	weaken significantly with	dollar break above level for first time in over year	0	ORDINAL
1.0	yen	elsewhere weaken with	dollar break above 120-yen level	0	DURATION
1.0	hike	be in	eurozone interest rate	0	0
1.0	yen	weaken with	dollar break in over year	0	DURATION
1.0	single european currency	be in	at 1.2906 dollar after 1.2935 late Wednesday New York	0	NUMBER
