1.0	it	agree with	government	0	0
1.0	ETA	originally plan attack rather than	later	ORGANIZATION	DATE
1.0	government	have offer	possibility of dialogue with ETA blame for 850 death in four-decade independence campaign for basque region	0	NUMBER
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame	0	ORGANIZATION
1.0	socialist government	have offer	possibility of dialogue blame for 850 death in four-decade independence campaign	0	NUMBER
1.0	dialogue	have	possibility	O	O
1.0	man	be first fatality since	May 2003	0	DATE
1.0	government	have offer	possibility of direct dialogue blame for 850 death in four-decade independence campaign for region	0	NUMBER
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame in four-decade independence campaign for region	0	ORGANIZATION
1.0	government	have offer	possibility of dialogue blame in independence campaign	0	0
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame in four-decade independence campaign for basque region	0	ORGANIZATION
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame for 850 death in four-decade independence campaign	0	NUMBER
1.0	socialist government	have offer	possibility of direct dialogue blame in four-decade independence campaign	0	0
1.0	government	have offer	possibility of direct dialogue blame for 850 death in independence campaign for region	0	NUMBER
1.0	government	have offer	possibility of direct dialogue with ETA blame for 850 death	0	NUMBER
1.0	government	have offer	possibility of dialogue with ETA blame in independence campaign for region	0	ORGANIZATION
1.0	government	have offer	possibility of direct dialogue with ETA blame for 850 death in four-decade independence campaign	0	NUMBER
1.0	region	have	north	O	O
1.0	two man	be first fatality in	ETA attack	NUMBER	ORGANIZATION
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame in four-decade independence campaign	0	ORGANIZATION
1.0	government	have offer	possibility of direct dialogue blame in four-decade independence campaign for basque region	0	0
0.8246114161877479	expert	consult by	El Pais	0	PERSON
1.0	El Mundo	say	El Pais newspaper	ORGANIZATION	ORGANIZATION
1.0	government	have offer	possibility of direct dialogue with ETA blame for 850 death in independence campaign	0	NUMBER
1.0	government	have offer	possibility of direct dialogue with ETA blame in independence campaign	0	ORGANIZATION
0.607325344522868	police	receive	telephone warning	0	0
1.0	Spanish media	report amid	new bomb threat	MISC	0
1.0	two man	be fatality in	ETA attack	NUMBER	ORGANIZATION
1.0	car	be report	ready	0	0
1.0	socialist government	have offer	possibility of dialogue blame in four-decade independence campaign for region	0	0
1.0	government	have offer	possibility of dialogue blame for 850 death in four-decade independence campaign for basque region	0	NUMBER
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame for 850 death in four-decade independence campaign for region	0	NUMBER
1.0	socialist government	have offer	possibility of dialogue with ETA	0	ORGANIZATION
1.0	government	have offer	possibility of dialogue with ETA blame in independence campaign	0	ORGANIZATION
1.0	Jose Blanco	be	Socialist	PERSON	ORGANIZATION
1.0	firefighter	recover corpse from	he car	0	0
1.0	socialist government	have offer	possibility of direct dialogue blame for 850 death in four-decade independence campaign for region	0	NUMBER
1.0	government	have offer	possibility of dialogue with ETA blame in four-decade independence campaign	0	ORGANIZATION
1.0	socialist government	have offer	possibility of dialogue	0	0
1.0	ETA	have	name	O	ORGANIZATION
1.0	firefighter	recover	corpse of diego Armando Estacio	0	PERSON
1.0	government	have offer	possibility of dialogue blame in four-decade independence campaign	0	0
0.476371227699871	statement	explain	its action	0	0
1.0	government	have offer	possibility of direct dialogue blame in four-decade independence campaign	0	0
1.0	explosive-laden car	be	report	0	0
1.0	firefighter	recover	corpse of Armando Estacio	0	PERSON
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame for 850 death	0	NUMBER
1.0	government	have offer	possibility of direct dialogue blame for 850 death in four-decade independence campaign for basque region	0	NUMBER
1.0	Jose Blanco	be deputy leader of	Socialist	PERSON	ORGANIZATION
1.0	government	have offer	possibility of direct dialogue blame for 850 death	0	NUMBER
1.0	abandon	go	grind	0	0
1.0	Spanish media	report amid	bomb threat	MISC	0
1.0	socialist government	have offer	possibility of dialogue with ETA blame for 850 death in four-decade independence campaign for region	0	NUMBER
1.0	socialist government	have offer	possibility of direct dialogue blame for 850 death in independence campaign	0	NUMBER
1.0	government	have offer	possibility of dialogue with ETA blame in four-decade independence campaign for region	0	ORGANIZATION
1.0	socialist government	have offer	possibility of dialogue blame in four-decade independence campaign	0	0
1.0	Spanish media	report at_time	Friday	MISC	DATE
0.607325344522868	basque police	receive telephone warning in	ETA 's name	0	ORGANIZATION
1.0	direct dialogue	be with	ETA	0	ORGANIZATION
1.0	Saturday	with	bomb blast	DATE	0
1.0	socialist government	have offer	possibility of direct dialogue blame for 850 death in independence campaign for basque region	0	NUMBER
1.0	socialist government	have offer	possibility of dialogue blame in independence campaign for region	0	0
1.0	Ecuadoran man	have	body	O	O
1.0	earlier	rule	Socialist deputy leader Jose Blanco	0	PERSON
1.0	government	have offer	possibility of dialogue with ETA blame in independence campaign for basque region	0	ORGANIZATION
1.0	socialist government	have offer	possibility of direct dialogue blame in independence campaign for basque region	0	0
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame in independence campaign	0	ORGANIZATION
1.0	government	have offer	possibility of direct dialogue with ETA blame in four-decade independence campaign	0	ORGANIZATION
1.0	ETA	be by	basque	ORGANIZATION	0
1.0	government	have offer	possibility of dialogue	0	0
1.0	socialist government	have offer	possibility of dialogue with ETA blame in four-decade independence campaign for region	0	ORGANIZATION
1.0	socialist government	have offer	possibility of direct dialogue blame for 850 death	0	NUMBER
1.0	socialist government	have offer	possibility of dialogue with ETA blame in four-decade independence campaign	0	ORGANIZATION
1.0	government	have offer	possibility of dialogue with ETA blame for 850 death	0	NUMBER
1.0	government	have offer	possibility of dialogue blame for 850 death	0	NUMBER
1.0	victim	have	body	O	O
1.0	socialist government	have offer	possibility of dialogue with ETA blame in independence campaign for basque region	0	ORGANIZATION
1.0	ETA	in	name about bomb at Bilbao airport	ORGANIZATION	LOCATION
1.0	explosives	have	kilos	O	O
0.607325344522868	basque police	receive telephone warning in	northern Spain	0	LOCATION
1.0	man	be	first fatality in ETA attack since May 2003	0	ORDINAL
1.0	recent day	be with	Saturday 's bomb blast	DURATION	DATE
1.0	explosive-laden car	be report	ready	0	0
1.0	socialist government	have offer	possibility of dialogue blame for 850 death in independence campaign for basque region	0	NUMBER
1.0	government	have offer	possibility of dialogue with ETA blame for 850 death in four-decade independence campaign	0	NUMBER
1.0	ETA	plan attack rather than	later	ORGANIZATION	DATE
1.0	Amorebieta	have	town	O	LOCATION
1.0	socialist government	have offer	possibility of dialogue with ETA blame for 850 death in four-decade independence campaign	0	NUMBER
1.0	earlier Friday	rule	Socialist deputy leader Jose Blanco	DATE	PERSON
1.0	socialist government	have offer	possibility of dialogue with ETA blame in independence campaign	0	ORGANIZATION
1.0	Spanish media	report at	Bilbao airport	MISC	LOCATION
1.0	ETA	plan attack rather than	week later	ORGANIZATION	DATE
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame for 850 death in four-decade independence campaign for basque region	0	NUMBER
1.0	government	have offer	possibility of dialogue blame for 850 death in independence campaign for basque region	0	NUMBER
0.607325344522868	basque police	receive telephone warning in	Spain	0	LOCATION
1.0	government	have offer	possibility of direct dialogue with ETA blame for 850 death in four-decade independence campaign for basque region	0	NUMBER
0.607325344522868	basque police	receive telephone warning in	ETA 's name about bomb	0	ORGANIZATION
1.0	man	be	first fatality	0	ORDINAL
1.0	ETA	have	member	O	ORGANIZATION
1.0	government	have offer	possibility of direct dialogue blame for 850 death in four-decade independence campaign	0	NUMBER
1.0	ertzaintza agent	still comb	zone	0	0
1.0	socialist government	have offer	possibility of dialogue with ETA blame for 850 death	0	NUMBER
1.0	socialist government	have offer	possibility of dialogue blame in independence campaign for basque region	0	0
1.0	violence	be in	crisis	0	0
1.0	man	be	fatality	0	0
1.0	socialist government	have offer	possibility of direct dialogue blame for 850 death in four-decade independence campaign	0	NUMBER
1.0	government	have	resolve	0	0
1.0	low-level violence	be in	crisis	0	0
1.0	two man	be	fatality	NUMBER	0
1.0	explosive-laden car	be report	almost ready	0	0
1.0	government	have offer	possibility of dialogue with ETA blame	0	ORGANIZATION
1.0	government	have offer	possibility of direct dialogue blame for 850 death in independence campaign for basque region	0	NUMBER
1.0	government	have offer	possibility of direct dialogue blame in independence campaign for region	0	0
1.0	pm	receive at	1:15	TIME	TIME
1.0	government	have offer	possibility of dialogue blame for 850 death in four-decade independence campaign for region	0	NUMBER
1.0	government	have offer	possibility of dialogue blame for 850 death in four-decade independence campaign	0	NUMBER
1.0	two man	be first fatality since	May 2003	NUMBER	DATE
1.0	government	have offer	possibility of direct dialogue with ETA blame in four-decade independence campaign for basque region	0	ORGANIZATION
0.607325344522868	police	receive telephone warning in	ETA 's name about bomb at Bilbao airport	0	ORGANIZATION
1.0	socialist government	have offer	possibility of dialogue with ETA blame for 850 death in four-decade independence campaign for basque region	0	NUMBER
1.0	government	have offer	possibility of direct dialogue with ETA blame in four-decade independence campaign for region	0	ORGANIZATION
1.0	continue violence	be in	crisis	0	0
1.0	two man	be	fatality in ETA attack since May 2003	NUMBER	DATE
1.0	socialist government	have offer	possibility of dialogue blame for 850 death in four-decade independence campaign for region	0	NUMBER
1.0	socialist government	have offer	possibility of direct dialogue blame in independence campaign for region	0	0
1.0	two man	be	first fatality	NUMBER	ORDINAL
1.0	two man	be	first fatality in ETA attack since May 2003	NUMBER	ORDINAL
1.0	government	have offer	possibility of direct dialogue with ETA	0	ORGANIZATION
1.0	ceasefire	have	end	O	O
1.0	basque city	from kilometre be	12 mile	0	NUMBER
1.0	facility	be evacuate	Friday afternoon as precaution	0	DATE
1.0	government	have offer	possibility of direct dialogue with ETA blame for 850 death in independence campaign for region	0	NUMBER
1.0	explosive	of kilo be	44 pound	0	MONEY
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame for 850 death in independence campaign for basque region	0	NUMBER
1.0	government	have offer	possibility of dialogue blame	0	0
1.0	socialist government	have offer	possibility of direct dialogue	0	0
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame in independence campaign for basque region	0	ORGANIZATION
1.0	explosive-laden car	lack	detonator	0	0
0.607325344522868	basque police	receive telephone warning in	ETA 's name about bomb at Bilbao airport	0	ORGANIZATION
1.0	explosive	have	type	O	O
1.0	socialist government	have offer	possibility of direct dialogue blame	0	0
1.0	socialist government	have offer	possibility of dialogue with ETA blame in independence campaign for region	0	ORGANIZATION
1.0	socialist government	have offer	possibility of direct dialogue with ETA blame for 850 death in independence campaign	0	NUMBER
1.0	socialist government	have offer	possibility of direct dialogue blame in independence campaign	0	0
0.607325344522868	police	receive telephone warning in	northern Spain	0	LOCATION
1.0	government	have offer	possibility of direct dialogue with ETA blame for 850 death in independence campaign for basque region	0	NUMBER
1.0	explosive cache	kilometre from	basque city of Bilbao	0	LOCATION
1.0	government	have offer	possibility of direct dialogue blame	0	0
1.0	facility	be evacuate	Friday afternoon	0	DATE
1.0	group	renounce	violence	0	0
1.0	government	have offer	possibility of dialogue with ETA blame for 850 death in independence campaign for region	0	NUMBER
1.0	government	have	resolve	O	O
