1.0	They	work in	area	0	0
1.0	Watson , who expects to encounter the Japanese fleet in the Southern Ocean within days	sideswipe	bluebird supply vessel	0	0
1.0	Ocean	be	formidable	LOCATION	0
1.0	you	waterline know	enough damage	0	0
1.0	Japan	have	hunting	LOCATION	0
1.0	activist	use	tactic	0	0
1.0	showdown	loom in	icy water of antarctic between shipborne activist	0	0
1.0	canadian-born activist	use tactic in	he conservation effort	0	0
1.0	fleet	will	will also harass	0	0
1.0	fleet	have	half	O	O
1.0	we	look for	whale ship	0	0
1.0	whaling fleet	have	safety	O	O
1.0	activist	have	have accuse	0	0
1.0	New Zealand	be for	Southern Ocean	LOCATION	LOCATION
1.0	Greenpeace	take	as safety precaution	ORGANIZATION	0
1.0	canadian-born activist	have	have accuse	0	0
1.0	they	be here look for	membership	0	0
1.0	you	know	enough damage	0	0
1.0	they	pose	lot of whale snuff flick	0	0
1.0	ocean	have	lot	O	O
1.0	Japan	have	continue hunting	LOCATION	0
0.6781550399516716	three whaler	half of	Iceland 's fleet in 1986	NUMBER	LOCATION
1.0	Watson	leave	organisation	PERSON	0
1.0	Watson , who expects to encounter the Japanese fleet in the Southern Ocean within days	use	the Japanese fleet in the Southern Ocean	0	0
1.0	fleet	will	will also harass by international conservation group	0	0
1.0	Paul Watson	be	Sea Shepherd	PERSON	ORGANIZATION
1.0	he ship	be	unregistered	0	0
1.0	Paul Watson	be president of	Sea Shepherd	PERSON	ORGANIZATION
0.7260535429430061	we	be pirate of	compassion	0	0
0.9919506356231688	Southern Ocean	be	fairly place	LOCATION	0
0.13194742792994058	Sea Shepherd president Paul Watson	afp in	satellite telephone interview	ORGANIZATION	0
1.0	70	have	total	O	NUMBER
1.0	world	have	area	O	O
1.0	whale snuff flicks	have	lot	O	O
1.0	fleet	will	will harass by international conservation group	0	0
1.0	Sea Shepherd president Paul Watson	flagship	the 54-metre -LRB- 177-foot -RRB- Farley Mowat	0	PERSON
1.0	Antarctic	have	icy waters	O	MISC
1.0	people	call	we pirate	0	0
1.0	damage	force	they	0	0
1.0	International Whaling Commission	impose moratorium in	1986	ORGANIZATION	DATE
1.0	ships	have	fleet	O	O
1.0	you	waterline know	damage	0	0
1.0	it	be	very dangerous	0	0
1.0	showdown	loom in	icy water	0	0
1.0	we	here look for	whale ship	0	0
1.0	year	have	hemisphere	O	DATE
1.0	area	have	out drove	O	O
0.6781550399516716	three whaler	half of	Iceland 's fleet	NUMBER	LOCATION
1.0	whaler	have	hull	O	O
0.9919506356231688	Southern Ocean	be	fairly formidable place	LOCATION	0
1.0	violent showdown	loom in	icy water of antarctic between shipborne activist	0	0
1.0	Watson , who expects to encounter the Japanese fleet in the Southern Ocean within days	sideswipe bluebird supply vessel at_time	year	0	DATE
1.0	violent showdown	loom in	icy water of antarctic	0	0
1.0	his	have	ship	O	O
1.0	conservationist	warn at_time	Wednesday	0	DATE
0.9919506356231688	Southern Ocean	be	place	LOCATION	0
1.0	activist	use	violent tactic	0	0
1.0	you	above waterline know	damage	0	0
1.0	this year	in	southern hemisphere	DATE	0
1.0	AFP	be in	satellite telephone interview	ORGANIZATION	0
1.0	canadian-born activist	use	tactic	0	0
1.0	damage	force back	they	0	0
1.0	Watson , who expects to encounter the Japanese fleet in the Southern Ocean within days	sideswipe bluebird supply vessel at_time	last year	0	DATE
1.0	enough damage	force	they	0	0
1.0	Watson	have	charges	O	PERSON
1.0	whose	have	fastest	O	O
1.0	International Whaling Commission	impose moratorium on	commercial whaling	ORGANIZATION	0
1.0	japanese fleet	be in	Southern Ocean	0	LOCATION
1.0	Sea Shepherd president Paul Watson	have	flagship	O	O
1.0	fleet	will	will also harass by conservation group	0	0
1.0	International Whaling Commission	impose moratorium on	whaling	ORGANIZATION	0
