1.0	Organization of the Petroleum Exporting Countries	for spokesman be	the Organization of the Petroleum Exporting Countries	ORGANIZATION	ORGANIZATION
1.0	US fuel inventory datum	show	heating stock	LOCATION	0
1.0	oil market 's central focus	remain with	more warm weather forecast over next ten day	0	DURATION
1.0	oil price	sink on	Tuesday	0	DATE
1.0	Brent North Sea crude	fall by	just two cent 55.16 dollar	LOCATION	MONEY
1.0	crude future	have slump by	as much as 12 percent since start of 2007	0	PERCENT
1.0	Wednesday	have	snapshot	O	O
1.0	oil price	sink to	point	0	0
1.0	crude future	have slump by	as much as 12 percent	0	PERCENT
1.0	US Department	issue	its weekly snapshot	LOCATION	SET
1.0	oil price	sink with	New York crude	0	LOCATION
1.0	New York 's main contract crude	slide	27 cent 55.37 dollar barrel	LOCATION	MONEY
1.0	US crude oil reserve	fall by	1.5 million barrel over same period	LOCATION	NUMBER
1.0	oil market 's focus	remain with	more warm weather forecast over next ten day	0	DURATION
1.0	Petroleum Exporting Countries	have	Organization	ORGANIZATION	ORGANIZATION
